From,From no,To,To no
Christopher Lee (I),61,Treasure of San Teresa The (1959),1822
Christopher Lee (I),61,Trono di fuoco Il (1970),1823
Christopher Lee (I),61,Trottie True (1949),1824
Christopher Lee (I),61,Truth About Women The (1958),1825
Christopher Lee (I),61,Two Faces of Dr. Jekyll The (1960),1826
Christopher Lee (I),61,Umbracle El (1970),1827
Christopher Lee (I),61,Vacances de M. Hulot Les (1953),1828
Christopher Lee (I),61,Valhalla (1986),1829
Christopher Lee (I),61,Valley of Eagles (1951),1830
Christopher Lee (I),61,Vampir-Cuadecuc (1970),1831
Christopher Lee (I),61,Vampire Interviews The (1994),1832
Christopher Lee (I),61,Vem var Dracula? (1975),1833
Christopher Lee (I),61,Vengeance of Fu Manchu The (1967),1834
Christopher Lee (I),61,Vergine di Norimberga La (1963),1835
Christopher Lee (I),61,Victims of Terror (1967),1836
Christopher Lee (I),61,Welcome to the Discworld (1996),1837
Christopher Lee (I),61,Wicker Man Enigma The (2001),1838
Christopher Lee (I),61,Wicker Man The (1973),1839
Kevin Lee (IV),62,Being John Malkovich (1999),1084
Tom 'Tiny' Lister Jr.,63,Adam Sandler Goes to Hell (2001),1085
Eddie J. Low,64,Being John Malkovich (1999),1084
John Malkovich,65,13 French Street (2005),1840
John Malkovich,65,Adaptation. (2002),1841
John Malkovich,65,Al di la delle nuvole (1995),1842
John Malkovich,65,Alive (1993),1843
John Malkovich,65,American Arts & Culture Presents John Horatio Malkovich 'Dance of Despair & Disillusionment' (2000),1844
John Malkovich,65,Art School Confidential (2004),1845
John Malkovich,65,Being John Malkovich (1999),1084
John Malkovich,65,Cannes Man (1996),1846
John Malkovich,65,Cheshmane John Malkovich (2004),1001
John Malkovich,65,Colour Me Kubrick (2005),1847
John Malkovich,65,Con Air (1997),1848
John Malkovich,65,Convento O (1995),1849
John Malkovich,65,Dancer Upstairs The (2002),1850
John Malkovich,65,Dangerous Liaisons (1988),1851
John Malkovich,65,Eleni (1985),1852
John Malkovich,65,Empire of the Sun (1987),1063
John Malkovich,65,Glass Menagerie The (1987),1853
John Malkovich,65,Hideous Man (2002),1854
John Malkovich,65,Hitchhiker's Guide to the Galaxy The (2005),1855
John Malkovich,65,Hotel (2001),1856
John Malkovich,65,In the Line of Fire (1993),1857
John Malkovich,65,Je rentre a la maison (2001),1858
John Malkovich,65,Jennifer Eight (1992),1859
John Malkovich,65,Johnny English (2003),1860
John Malkovich,65,Killing Fields The (1984),1861
John Malkovich,65,Klimt (2005),1862
John Malkovich,65,Knockaround Guys (2001),1863
John Malkovich,65,Libertine The (2004),1864
John Malkovich,65,Making Mr. Right (1987),1865
John Malkovich,65,Man in the Iron Mask The (1998),1866
John Malkovich,65,Mary Reilly (1996),1867
John Malkovich,65,Messenger: The Story of Joan of Arc The (1999),1868
John Malkovich,65,Miles from Home (1988),1869
John Malkovich,65,Mulholland Falls (1996),1870
John Malkovich,65,Object of Beauty The (1991),1871
John Malkovich,65,Of Mice and Men (1992),1872
John Malkovich,65,Places in the Heart (1984),1333
John Malkovich,65,Portrait of a Lady The (1996),1076
John Malkovich,65,Private Conversations (1986),1873
John Malkovich,65,Queens Logic (1991),1042
John Malkovich,65,Rabbit Ears: Santabear's High Flying Adventure (1987),1874
John Malkovich,65,Ripley's Game (2002),1875
John Malkovich,65,Rounders (1998),1876
John Malkovich,65,Shadow of the Vampire (2000),1877
John Malkovich,65,Shadows and Fog (1992),1878
John Malkovich,65,Sheltering Sky The (1990),1879
John Malkovich,65,Speak Truth to Power (2000),1880
John Malkovich,65,Temps retrouve Le (1999),1881
John Malkovich,65,Um Filme Falado (2003),1882
John Malkovich,65,Unhold Der (1996),1883
John Malkovich,65,Ames fortes Les (2001),1884
Mickey Mantle,66,Greatest Summer of My Life: Billy Crystal and the Making of '61*' The (2001),1086
Roger Maris,67,Greatest Summer of My Life: Billy Crystal and the Making of '61*' The (2001),1086
Aredeshir Monazzam,68,Cheshmane John Malkovich (2004),1001
Craig A. Mumma,69,Adam Sandler Goes to Hell (2001),1085
Bill Murray (I),70,Angelic Attire: Dressing Cameron Drew & Lucy (2000),1885
Bill Murray (I),70,Best of Dan Aykroyd The (1986),1886
Bill Murray (I),70,Best of Gilda Radner The (1989),1887
Bill Murray (I),70,Best of John Belushi The (1985),1888
Bill Murray (I),70,Caddyshack (1980),1889
Bill Murray (I),70,Caddyshack: The 19th Hole (1999),1890
Bill Murray (I),70,Charlie's Angels (2000),1891
Bill Murray (I),70,Chainon manquant Le (1980),1892
Bill Murray (I),70,Coffee and Cigarettes (2003),1893
Bill Murray (I),70,Cradle Will Rock (1999),1894
Bill Murray (I),70,Ed Wood (1994),1895
Bill Murray (I),70,Garfield (2004),1896
Bill Murray (I),70,Getting G'd Up (2000),1897
Bill Murray (I),70,Ghost Busters (1984),1898
Bill Murray (I),70,Ghostbusters 1999 (1999),1899
Bill Murray (I),70,Ghostbusters II (1989),1900
Bill Murray (I),70,Ghostbusters' SFX Team Featurette (1999),1901
Bill Murray (I),70,Groundhog Day (1993),1902
Bill Murray (I),70,Kingpin (1996),1903
Bill Murray (I),70,Larger Than Life (1996),1904
Bill Murray (I),70,Life Aquatic with Steve Zissou The (2004),1905
Bill Murray (I),70,Little Shop of Horrors (1986),1906
Bill Murray (I),70,Loose Shoes (1980),1907
Bill Murray (I),70,Lost City The (2004),1908
Bill Murray (I),70,Lost in Translation (2003),1909
Bill Murray (I),70,Lost on Location: Behind the Scenes of 'Lost in Translation' (2004),1910
Bill Murray (I),70,Mad Dog and Glory (1993),1911
Bill Murray (I),70,Man Who Knew Too Little The (1997),1912
Bill Murray (I),70,Master and the Angels The (2000),1913
Bill Murray (I),70,Meatballs (1979),1914
Bill Murray (I),70,Michael Jordan to the Max (2000),1915
Bill Murray (I),70,Mr. Mike's Mondo Video (1979),1916
Bill Murray (I),70,Next Stop Greenwich Village (1976),1917
Bill Murray (I),70,Nothing Lasts Forever (1984),1918
Bill Murray (I),70,Osmosis Jones (2001),1919
Bill Murray (I),70,Quick Change (1990),1920
Bill Murray (I),70,Razor's Edge The (1984),1921
Bill Murray (I),70,Royal Tenenbaums The (2001),1340
Bill Murray (I),70,Rushmore (1998),1922
Bill Murray (I),70,Saturday Night Live Christmas (1999),1923
Bill Murray (I),70,Saturday Night Live: Game Show Parodies (1998),1116
Bill Murray (I),70,Scout's Honor (1999),1924
Bill Murray (I),70,Scrooged (1988),1925
Bill Murray (I),70,She's Having a Baby (1988),1045
Bill Murray (I),70,Space Jam (1996),1926
Bill Murray (I),70,Speaking of Sex (2001),1927
Bill Murray (I),70,Stars and Stripes 1 (2004),1928
Bill Murray (I),70,Stars and Stripes 2 (2004),1929
Bill Murray (I),70,Stripes (1981),1930
Bill Murray (I),70,This Old Cub (2004),1931
Bill Murray (I),70,Tootsie (1982),1932
Bill Murray (I),70,Untitled Jim Jarmusch Project (2005),1933
Bill Murray (I),70,What About Bob? (1991),1934
Bill Murray (I),70,Where the Buffalo Roam (1980),1935
Bill Murray (I),70,Wild Things (1998),1056
Bill Murray (I),70,With Friends Like These... (1998),1936
James Murray (XIII),71,Being John Malkovich (1999),1084
Kevin Nealon,72,Adam Sandler Goes to Hell (2001),1085
Leonard Nimoy,73,Armageddon: Target Earth (1998),1937
Leonard Nimoy,73,Atlantis: The Lost Empire (2001),1938
Leonard Nimoy,73,Balcony The (1963),1939
Leonard Nimoy,73,Bangles Greatest Hits (1990),1940
Leonard Nimoy,73,Brain Eaters The (1959),1941
Leonard Nimoy,73,Carpati: 50 Miles 50 Years (1996),1942
Leonard Nimoy,73,Catlow (1971),1943
Leonard Nimoy,73,Deathwatch (1967),1944
Leonard Nimoy,73,Destiny in Space (1994),1945
Leonard Nimoy,73,First Men on the Moon The (1997),1946
Leonard Nimoy,73,Francis Goes to West Point (1952),1947
Leonard Nimoy,73,Greenhouse Gamble (1992),1948
Leonard Nimoy,73,Halloween Tree The (1993),1949
Leonard Nimoy,73,History Happened Here (2001),1950
Leonard Nimoy,73,Inside Star Trek: The Real Story (1998),1951
Leonard Nimoy,73,Invasion of the Body Snatchers (1978),1952
Leonard Nimoy,73,Jellies & Other Ocean Drifters (1996),1953
Leonard Nimoy,73,Kid Monk Baroni (1952),1954
Leonard Nimoy,73,Leonard Nimoy Demonstrates the Magnavision Videodisc Player (1981),1000
Leonard Nimoy,73,Life Apart: Hasidism in America A (1997),1955
Leonard Nimoy,73,Mind Meld: Secrets Behind the Voyage of a Lifetime (2001),1956
Leonard Nimoy,73,Minyan in Kaifeng (2001),1957
Leonard Nimoy,73,Old Overland Trail (1953),1958
Leonard Nimoy,73,Pagemaster The (1994),1959
Leonard Nimoy,73,Queen for a Day (1951),1960
Leonard Nimoy,73,Rashi: A Light After the Dark Ages (1999),1961
Leonard Nimoy,73,Rhubarb (1951),1962
Leonard Nimoy,73,Satan's Satellites (1958),1963
Leonard Nimoy,73,Seaman (1999),1964
Leonard Nimoy,73,Seven Days in May (1964),1965
Leonard Nimoy,73,Sinbad: Beyond the Veil of Mists (2000),1966
Leonard Nimoy,73,Star Trek III: The Search for Spock (1984),1967
Leonard Nimoy,73,Star Trek IV: The Voyage Home (1986),1968
Leonard Nimoy,73,Star Trek V: The Final Frontier (1989),1969
Leonard Nimoy,73,Star Trek VI: The Undiscovered Country (1991),1970
Leonard Nimoy,73,Star Trek: 25th Anniversary Enhanced (1992),1971
Leonard Nimoy,73,Star Trek: Judgment Rites (1994),1972
Leonard Nimoy,73,Star Trek: Strategic Operations Simulator (1983),1973
Leonard Nimoy,73,Star Trek: The Motion Picture (1979),1974
Leonard Nimoy,73,Star Trek: The Wrath of Khan (1982),1975
Leonard Nimoy,73,Stars of Star Wars: Interviews From the Cast The (1999),1976
Leonard Nimoy,73,Story of Computer Graphics The (1999),1977
Leonard Nimoy,73,Them! (1954),1978
Leonard Nimoy,73,Titanica (1995),1979
Leonard Nimoy,73,Transformers: The Movie The (1986),1980
Leonard Nimoy,73,Trekkies (1997),1981
Leonard Nimoy,73,Twenty-Five Year Mission Tour The (1992),1982
Leonard Nimoy,73,War of the Worlds: Great Books The (1994),1983
Leonard Nimoy,73,William Shatner's Star Trek Memories (1995),1984
Leonard Nimoy,73,Zombies of the Stratosphere (1952),1985
Christopher Nolan,74,180: Christopher Nolan Interviews Al Pacino (2002),1986
Greg O'Neill,75,Being John Malkovich (1999),1084
Ozzy Osbourne,76,Adam Sandler Goes to Hell (2001),1085
Al Pacino,77,...And Justice for All (1979),1987
Al Pacino,77,180: Christopher Nolan Interviews Al Pacino (2002),1986
Al Pacino,77,88 Minutes (2005),1988
Al Pacino,77,America at the Movies (1976),1989
Al Pacino,77,Any Given Sunday (1999),1990
Al Pacino,77,Author! Author! (1982),1991
Al Pacino,77,Bobby Deerfield (1977),1992
Al Pacino,77,Carlito's Way (1993),1993
Al Pacino,77,Chinese Coffee (2000),1994
Al Pacino,77,City Hall (1996),1995
Al Pacino,77,Cruising (1980),1996
Al Pacino,77,Devil's Advocate The (1997),1997
Al Pacino,77,Dick Tracy (1990),1998
Al Pacino,77,Dog Day Afternoon (1975),1999
Al Pacino,77,Donnie Brasco (1997),2000
Al Pacino,77,Frankie and Johnny (1991),2001
Al Pacino,77,Gigli (2003),2002
Al Pacino,77,Glengarry Glen Ross (1992),2003
Al Pacino,77,Godfather Trilogy: 1901-1980 The (1992),2004
Al Pacino,77,Godfather The (1972),2005
Al Pacino,77,Godfather: Part II The (1974),2006
Al Pacino,77,Godfather: Part III The (1990),2007
Al Pacino,77,Heat (1995),2008
Al Pacino,77,Insider The (1999),2009
Al Pacino,77,Insomnia (2002),2010
Al Pacino,77,Jonas in the Desert (1994),2011
Al Pacino,77,Kid Stays In the Picture The (2002),2012
Al Pacino,77,Local Stigmatic The (1989),2013
Al Pacino,77,Looking for Richard (1996),1588
Al Pacino,77,Madonna: Truth or Dare (1991),2014
Al Pacino,77,Me Natalie (1969),2015
Al Pacino,77,Merchant of Venice The (2004),2016
Al Pacino,77,Panic in Needle Park The (1971),2017
Al Pacino,77,People I Know (2002),2018
Al Pacino,77,Pitch (1997),2019
Al Pacino,77,Recruit The (2003),2020
Al Pacino,77,Revolution (1985),2021
Al Pacino,77,S1m0ne (2002),2022
Al Pacino,77,Scarecrow (1973),2023
Al Pacino,77,Scarface: Acting (2003),2024
Al Pacino,77,Scarface: Creating (2003),2025
Al Pacino,77,Scarface: The Rebirth (2003),2026
Al Pacino,77,Scent of a Woman (1992),2027
Al Pacino,77,Sea of Love (1989),2028
Al Pacino,77,Serpico (1973),2029
Al Pacino,77,Torch (2006),2030
Al Pacino,77,Two Bits (1995),2031
Al Pacino,77,Two for the Money (2005),2032
Al Pacino,77,Ultimate Fights from the Movies (2002),2033
Rocco Passionino,78,Adam Sandler Goes to Hell (2001),1085
Sean Penn,79,Being John Malkovich (1999),1084
Barry Pepper,80,Greatest Summer of My Life: Billy Crystal and the Making of '61*' The (2001),1086
Brad Pitt,81,Being John Malkovich (1999),1084
Byrne Piven,82,Being John Malkovich (1999),1084
Vladimir Putin,83,Cheshmane John Malkovich (2004),1001
Paul Reubens,84,Back to the Beach (1987),2034
Paul Reubens,84,Batman Returns (1992),2035
Paul Reubens,84,Beauty and the Beast: The Enchanted Christmas (1997),2036
Paul Reubens,84,Big Top Pee-wee (1988),2037
Paul Reubens,84,Blow (2001),2038
Paul Reubens,84,Blues Brothers The (1980),2039
Paul Reubens,84,Buddy (1997),2040
Paul Reubens,84,Buffy the Vampire Slayer (1992),2041
Paul Reubens,84,Cheech & Chong's Next Movie (1980),2042
Paul Reubens,84,Doctor Dolittle (1998),2043
Paul Reubens,84,Dream On (1981),2044
Paul Reubens,84,Dunston Checks In (1996),2045
Paul Reubens,84,Flight of the Navigator (1986),2046
Paul Reubens,84,Matilda (1996),2047
Paul Reubens,84,Mayor of the Sunset Strip (2003),2048
Paul Reubens,84,Meatballs Part II (1984),2049
Paul Reubens,84,Midnight Madness (1980),2050
Paul Reubens,84,Moonwalker (1988),2051
Paul Reubens,84,Mystery Men (1999),2052
Paul Reubens,84,Nice Dreams (1981),2053
Paul Reubens,84,Nightmare Before Christmas The (1993),2054
Paul Reubens,84,Pandemonium (1982),2055
Paul Reubens,84,Pee-wee's Big Adventure (1985),2056
Paul Reubens,84,Pray TV (1980),2057
Paul Reubens,84,South of Heaven West of Hell (2000),2058
Paul Reubens,84,Spotlight on Location: Mystery Men (2000),2059
Paul Reubens,84,Star Tours (1987),2060
Paul Reubens,84,Teacher's Pet (2004),2061
Hamed Rezai,85,Cheshmane John Malkovich (2004),1001
Alan Rickman,86,Awfully Big Adventure An (1995),2062
Alan Rickman,86,Blow Dry (2001),2063
Alan Rickman,86,Bob Roberts (1992),2064
Alan Rickman,86,Check the Gate: Putting Beckett on Film (2003),2065
Alan Rickman,86,Close My Eyes (1991),2066
Alan Rickman,86,Closet Land (1991),2067
Alan Rickman,86,Dark Harbor (1998),2068
Alan Rickman,86,Die Hard (1988),2069
Alan Rickman,86,Die Hard: With a Vengeance (1995),2070
Alan Rickman,86,Dogma (1999),2071
Alan Rickman,86,Galaxy Quest (1999),2072
Alan Rickman,86,Harry Potter and the Chamber of Secrets (2002),2073
Alan Rickman,86,Harry Potter and the Goblet of Fire (2005),2074
Alan Rickman,86,Harry Potter and the Prisoner of Azkaban (2004),2075
Alan Rickman,86,Harry Potter and the Sorcerer's Stone (2001),2076
Alan Rickman,86,Hjaelp jeg er en fisk (2000),2077
Alan Rickman,86,January Man (1989),2078
Alan Rickman,86,Judas Kiss (1998),2079
Alan Rickman,86,Judge Not: In Defense of Dogma (2001),2080
Alan Rickman,86,Love Actually (2003),2081
Alan Rickman,86,Lumiere et compagnie (1995),2082
Alan Rickman,86,Mesmer (1994),2083
Alan Rickman,86,Michael Collins (1996),2084
Alan Rickman,86,Play (2000),2085
Alan Rickman,86,Quigley Down Under (1990),2086
Alan Rickman,86,Robin Hood: Prince of Thieves (1991),1167
Alan Rickman,86,Search for John Gissing The (2001),2087
Alan Rickman,86,Sense and Sensibility (1995),2088
Alan Rickman,86,Truly Madly Deeply (1991),2089
Alan Rickman,86,Winter Guest The (1997),2090
Neil Ross (I),87,Being John Malkovich (1999),1084
Babe Ruth,88,Greatest Summer of My Life: Billy Crystal and the Making of '61*' The (2001),1086
Bill M. Ryusaki,89,Being John Malkovich (1999),1084
Adam Sandler (I),90,50 First Dates (2004),2091
Adam Sandler (I),90,Adam Sandler Goes to Hell (2001),1085
Adam Sandler (I),90,Airheads (1994),2092
Adam Sandler (I),90,Anger Management (2003),2093
Adam Sandler (I),90,Animal The (2001),2094
Adam Sandler (I),90,Big Daddy (1999),2095
Adam Sandler (I),90,Billy Madison (1995),2096
Adam Sandler (I),90,Blossoms & Blood (2003),2097
Adam Sandler (I),90,Bulletproof (1996),2098
Adam Sandler (I),90,Coneheads (1993),2099
Adam Sandler (I),90,Dating Scene The (2004),2100
Adam Sandler (I),90,Day with the Meatball A (2002),2101
Adam Sandler (I),90,Dirty Work (1998),2102
Adam Sandler (I),90,Eight Crazy Nights (2002),2103
Adam Sandler (I),90,Going Overboard (1989),2104
Adam Sandler (I),90,Happy Gilmore (1996),2105
Adam Sandler (I),90,Hot Chick The (2002),2106
Adam Sandler (I),90,Little Nicky (2000),2107
Adam Sandler (I),90,Longest Yard The (2005),2108
Adam Sandler (I),90,Mixed Nuts (1994),2109
Adam Sandler (I),90,Mr. Deeds (2002),2110
Adam Sandler (I),90,My Buddy Jack (2003),2111
Adam Sandler (I),90,Punch-Drunk Love (2002),2112
Adam Sandler (I),90,Satan's Top Forty (2001),2113
Adam Sandler (I),90,Saturday Night Live Christmas (1999),1923
Adam Sandler (I),90,Saturday Night Live: Game Show Parodies (1998),1116
Adam Sandler (I),90,Shakes the Clown (1992),2114
Adam Sandler (I),90,Skull Session: The Making of 'Anger Management' (2003),2115
Adam Sandler (I),90,Spanglish (2004),2116
Adam Sandler (I),90,Stupidity (2003),2117
Adam Sandler (I),90,Waterboy The (1998),2118
Adam Sandler (I),90,Wedding Singer The (1998),2119
Adam Sandler (I),90,Wild Desk Ride (2001),2120
Arnold Schwarzenegger,91,6th Day The (2000),2121
Arnold Schwarzenegger,91,Anthony Quinn: The Final Words (2001),2122
Arnold Schwarzenegger,91,Around the World in 80 Days (2004),2123
Arnold Schwarzenegger,91,Batman & Robin (1997),2124
Arnold Schwarzenegger,91,Beretta's Island (1994),2125
Arnold Schwarzenegger,91,Body by Garret (1982),2126
Arnold Schwarzenegger,91,Century of Cinema A (1994),1095
Arnold Schwarzenegger,91,Century of Science Fiction A (1996),1659
Arnold Schwarzenegger,91,Collateral Damage (2002),2127
Arnold Schwarzenegger,91,Comeback The (1980),2128
Arnold Schwarzenegger,91,Commando (1985),2129
Arnold Schwarzenegger,91,Conan the Barbarian (1982),1554
Arnold Schwarzenegger,91,Conan the Destroyer (1984),2130
Arnold Schwarzenegger,91,Conan Unchained: The Making of 'Conan' (2000),1555
Arnold Schwarzenegger,91,Dave (1993),1449
Arnold Schwarzenegger,91,Directors: James Cameron (1997),2131
Arnold Schwarzenegger,91,Dirty Harry: The Original (2001),2132
Arnold Schwarzenegger,91,Dr. Dolittle 2 (2001),2133
Arnold Schwarzenegger,91,East Meets West: 'Red Heat' and the Kings of Carolco (2004),2134
Arnold Schwarzenegger,91,End of Days (1999),2135
Arnold Schwarzenegger,91,End of Days: The Beginning (2000),2136
Arnold Schwarzenegger,91,Eraser (1996),2137
Arnold Schwarzenegger,91,Falco - Hoch wie nie (1998),2138
Arnold Schwarzenegger,91,Feed (1992),2139
Arnold Schwarzenegger,91,Hercules in New York (1970),2140
Arnold Schwarzenegger,91,How Arnold Won the West (2004),2141
Arnold Schwarzenegger,91,If It Bleeds We Can Kill It: The Making of 'Predator' (2001),2142
Arnold Schwarzenegger,91,Imagining 'Total Recall' (2001),2143
Arnold Schwarzenegger,91,Iron and Beyond (2002),2144
Arnold Schwarzenegger,91,Jingle All the Way (1996),2145
Arnold Schwarzenegger,91,Junior (1994),2146
Arnold Schwarzenegger,91,Junket Whore (1998),2147
Arnold Schwarzenegger,91,Kindergarten Cop (1990),2148
Arnold Schwarzenegger,91,Last Action Hero (1993),2149
Arnold Schwarzenegger,91,Last Party 2000 (2001),2150
Arnold Schwarzenegger,91,Last Party The (1993),2151
Arnold Schwarzenegger,91,Long Goodbye The (1973),2152
Arnold Schwarzenegger,91,Making of 'The Terminator': A Retrospective The (1992),2153
Arnold Schwarzenegger,91,Other Voices: Creating 'The Terminator' (2001),2154
Arnold Schwarzenegger,91,Predator (1987),2155
Arnold Schwarzenegger,91,Pumping Iron (1977),2156
Arnold Schwarzenegger,91,Raw Deal (1986),2157
Arnold Schwarzenegger,91,Red Heat (1988),2158
Arnold Schwarzenegger,91,Red Sonja (1985),2159
Arnold Schwarzenegger,91,Rundown The (2003),2160
Arnold Schwarzenegger,91,Running Man The (1987),2161
Arnold Schwarzenegger,91,Running with Arnold (2004),2162
Arnold Schwarzenegger,91,Scavenger Hunt (1979),2163
Arnold Schwarzenegger,91,Sex at 24 Frames Per Second (2003),2164
Arnold Schwarzenegger,91,Stand Tall (1997),2165
Arnold Schwarzenegger,91,Stay Hungry (1976),2166
Arnold Schwarzenegger,91,Stuntman for All Seasons: A Tribute to Bennie Dobbins A (2004),2167
Arnold Schwarzenegger,91,T2 3-D: Battle Across Time (1996),2168
Arnold Schwarzenegger,91,T2: More Than Meets the Eye (1993),2169
Arnold Schwarzenegger,91,T3 Visual Effects Lab (2003),2170
Arnold Schwarzenegger,91,Terminator 2: Judgment Day (1991),2171
Arnold Schwarzenegger,91,Terminator 2: Judgment Day (1992),2172
Arnold Schwarzenegger,91,Terminator 3: Redemption (2004),2173
Arnold Schwarzenegger,91,Terminator 3: Rise of the Machines (2003),2174
Arnold Schwarzenegger,91,Terminator The (1984),2175
Arnold Schwarzenegger,91,Total Recall (1990),2176
Arnold Schwarzenegger,91,True Lies (1994),2177
Arnold Schwarzenegger,91,True Lies (1995),2178
Arnold Schwarzenegger,91,Twins (1988),2179
Arnold Schwarzenegger,91,Villain The (1979),2180
Arnold Schwarzenegger,91,WMD: Weapon of Mass Destruction (2004),2181
Alireza Shayegan,92,Cheshmane John Malkovich (2004),1001
Charlie Sheen,93,Being John Malkovich (1999),1084
Gary Sinise,94,Being John Malkovich (1999),1084
Christian Slater,95,'Masked & Anonymous' Exposed (2003),2182
Christian Slater,95,3000 Miles to Graceland (2001),2183
Christian Slater,95,Alone in the Dark (2004),2184
Christian Slater,95,Austin Powers: International Man of Mystery (1997),2185
Christian Slater,95,Basil (1998),2186
Christian Slater,95,Bed of Roses (1996),2187
Christian Slater,95,Beyond the Stars (1989),2188
Christian Slater,95,Broken Arrow (1996),2189
Christian Slater,95,Catwalk (1996),2190
Christian Slater,95,Churchill: The Hollywood Years (2004),2191
Christian Slater,95,Code Talkers: A Secret Code of Honor The (2003),2192
Christian Slater,95,Contender The (2000),2193
Christian Slater,95,Contender: The Making of a Political Thriller The (2001),2194
Christian Slater,95,FernGully: The Last Rainforest (1992),2195
Christian Slater,95,Gleaming the Cube (1989),2196
Christian Slater,95,Good Shepherd The (2004),2197
Christian Slater,95,Hard Rain (1998),1147
Christian Slater,95,Heathers (1989),2198
Christian Slater,95,Interview with the Vampire: The Vampire Chronicles (1994),2199
Christian Slater,95,Jimmy Hollywood (1994),2200
Christian Slater,95,Julian Po (1997),2201
Christian Slater,95,Kuffs (1992),2202
Christian Slater,95,Last Party The (1993),2151
Christian Slater,95,Legend of Billie Jean The (1985),2203
Christian Slater,95,Love Stinks (1999),2204
Christian Slater,95,Masked and Anonymous (2003),2205
Christian Slater,95,Mindhunters (2004),2206
Christian Slater,95,Mobsters (1991),2207
Christian Slater,95,Murder in the First (1995),1032
Christian Slater,95,Naked Movie (2002),2208
Christian Slater,95,Name der Rose Der (1986),2209
Christian Slater,95,Pump Up the Volume (1990),2210
Christian Slater,95,Pursued (2004),2211
Christian Slater,95,Robin Hood: Prince of Thieves (1991),1167
Christian Slater,95,Rosa dei nomi La (1987),2212
Christian Slater,95,Run for the Money (2002),2213
Christian Slater,95,Star Trek VI: The Undiscovered Country (1991),1970
Christian Slater,95,Swatch Dogs and Diet Coke Heads (2001),2214
Christian Slater,95,Tales from the Darkside: The Movie (1990),2215
Christian Slater,95,True Romance (1993),2216
Christian Slater,95,Tucker: The Man and His Dream (1988),2217
Christian Slater,95,Twisted (1986),2218
Christian Slater,95,Untamed Heart (1993),2219
Christian Slater,95,Very Bad Things (1998),2220
Christian Slater,95,Where the Day Takes You (1992),2221
Christian Slater,95,Who Is Cletis Tout? (2001),2222
Christian Slater,95,Windtalkers (2002),2223
Christian Slater,95,Wizard The (1989),2224
Christian Slater,95,Young Guns II (1990),2225
Christian Slater,95,Zoolander (2001),2226
Robert Smigel,96,Adam Sandler Goes to Hell (2001),1085
David Sosalla,97,Adam Sandler Goes to Hell (2001),1085
Ralph W. Spaulding,98,Being John Malkovich (1999),1084
Gregory Sporleder,99,Being John Malkovich (1999),1084
Courtney James Stewart,100,Drumline (2002),2227
Courtney James Stewart,100,Remember the Titans (2000),2228
James Stewart (I),101,'Rear Window' Ethics: Remembering and Restoring a Hitchcock Classic (2000),2229
James Stewart (I),101,10000 Kids and a Cop (1948),2230
James Stewart (I),101,1940's: Music Memories & Milestones The (1988),2231
James Stewart (I),101,After the Thin Man (1936),2232
James Stewart (I),101,Afurika monogatari (1981),2233
James Stewart (I),101,Airport '77 (1977),1641
James Stewart (I),101,American Tail: Fievel Goes West An (1991),2234
James Stewart (I),101,Anatomy of a Murder (1959),2235
James Stewart (I),101,Art Trouble (1934),2236
James Stewart (I),101,Bandolero! (1968),2237
James Stewart (I),101,Bell Book and Candle (1958),2238
James Stewart (I),101,Bend of the River (1952),2239
James Stewart (I),101,Big Sleep The (1978),2240
James Stewart (I),101,Born to Dance (1936),2241
James Stewart (I),101,Broken Arrow (1950),2242
James Stewart (I),101,Brother Can You Spare a Dime? (1975),1193
James Stewart (I),101,Call Northside 777 (1948),2243
James Stewart (I),101,Carbine Williams (1952),2244
James Stewart (I),101,Century of Cinema A (1994),1095
James Stewart (I),101,Cheyenne Autumn (1964),2245
James Stewart (I),101,Cheyenne Social Club The (1970),2246
James Stewart (I),101,Classe americaine La (1993),1202
James Stewart (I),101,Come Live with Me (1941),2247
James Stewart (I),101,Dear Brigitte (1965),2248
James Stewart (I),101,Destry Rides Again (1939),2249
James Stewart (I),101,Directed by John Ford (1971),2250
James Stewart (I),101,Far Country The (1954),2251
James Stewart (I),101,FBI Story The (1959),2252
James Stewart (I),101,Fellow Americans (1942),2253
James Stewart (I),101,Firecreek (1968),2254
James Stewart (I),101,Flight of the Phoenix The (1965),2255
James Stewart (I),101,Fools' Parade (1971),2256
James Stewart (I),101,Frank Capra's 'It's a Wonderful Life': A Personal Remembrance (1991),2257
James Stewart (I),101,Glenn Miller Story The (1953),2258
James Stewart (I),101,Gorgeous Hussy The (1936),2259
James Stewart (I),101,Grace Kelly: The American Princess (1991),1487
James Stewart (I),101,Greatest Show on Earth The (1952),2260
James Stewart (I),101,Harvey (1950),2261
James Stewart (I),101,Heart of Show Business The (1957),2262
James Stewart (I),101,Hollywood Goes to Town (1938),1218
James Stewart (I),101,Hollywood Hobbies (1939),1220
James Stewart (I),101,Hollywood Outtakes (1984),2263
James Stewart (I),101,How the West Was Won (1962),2264
James Stewart (I),101,Ice Follies of 1939 (1939),2265
James Stewart (I),101,Important News (1936),2266
James Stewart (I),101,It's a Wonderful Life (1946),2267
James Stewart (I),101,It's a Wonderful World (1939),2268
James Stewart (I),101,Jackpot The (1950),2269
James Stewart (I),101,Just One More Time (1974),2270
James Stewart (I),101,Last Gangster The (1937),2271
